105	500	30	10000	0	2	662	0	462	482.9587	95.660355	0	0
105	1000	30	10000	0	2	773	0	904	920.15533	98.24428	0	1
105	1000	30	60	0	2	821	0	1145	1157.1584	98.94928	0	2
105	500	30	60	0	2	598	0	415	421.19525	98.52912	0	3
105	500	30	0	0	2	586	0	465	482.828	96.30759	0	4
105	1000	30	0	0	2	568	0	808	820.0569	98.52975	0	5
105	1000	30	10000	0	2	680	0	794.48755	813.8084	97.62587	1	0
105	500	30	0	0	2	512	0	393	408.03848	96.314445	1	1
105	1000	30	0	0	2	600	0	783	795.0388	98.485756	1	2
105	500	30	60	0	2	581	0	422.08496	439.20416	96.10222	1	3
105	1000	30	60	0	2	779	0	1009	1019.26575	98.99283	1	4
105	500	30	10000	0	2	686	0	532.299	547.1058	97.293625	1	5
105	1000	30	60	0	2	597	0	780	792.0176	98.482666	2	0
105	500	30	60	0	2	572	0	396	402.4215	98.40428	2	1
105	500	30	0	0	2	660	0	614	627.956	97.77755	2	2
105	500	30	10000	0	2	540	0	409.03204	428.6099	95.43224	2	3
105	1000	30	10000	0	2	566	0	790	801.01697	98.624626	2	4
105	1000	30	0	0	2	494	0	745	752.5993	98.990265	2	5
105	500	30	60	0	2	471	0	415.19348	422.1143	98.36044	3	0
105	1000	30	10000	0	2	679	0	973.22577	981.7082	99.135956	3	1
105	1000	30	60	0	2	786	0	805	819.37787	98.24527	3	2
105	1000	30	0	0	2	607	0	741	752.2939	98.49874	3	3
105	500	30	0	0	2	617	0	368	377.35022	97.52214	3	4
105	500	30	10000	0	2	643	0	487	499.0417	97.587036	3	5
105	1000	30	0	0	2	629	0	821	833.8548	98.45839	4	0
105	1000	30	60	0	2	615	0	820	842.50684	97.32858	4	1
105	500	30	10000	0	2	615	1	535	541.5929	98.782684	4	2
105	1000	30	10000	0	2	716	0	1005	1017.9572	98.727135	4	3
105	500	30	60	0	2	584	0	450.211	470.36667	95.714905	4	4
105	500	30	0	0	2	614	0	563	573.01355	98.25247	4	5
105	500	30	0	0	2	636	0	392	402.1268	97.48169	5	0
105	1000	30	60	0	2	797	0	787	799.23517	98.46914	5	1
105	500	30	10000	0	2	605	1	538	548.14246	98.149666	5	2
105	500	30	60	0	2	554	0	456.07108	472.6447	96.49342	5	3
105	1000	30	10000	0	2	614	0	773.9132	784.03174	98.70942	5	4
105	1000	30	0	0	2	520	0	740.02783	745.66425	99.2441	5	5
105	500	30	0	0	2	496	0	459	478.9051	95.84363	6	0
105	1000	30	60	0	2	705	0	840.099	853.9913	98.37325	6	1
105	1000	30	10000	0	2	639	0	763.47363	774.4593	98.581505	6	2
105	500	30	10000	0	2	724	0	561	577.40656	97.158585	6	3
105	500	30	60	0	2	593	0	535	544.1993	98.30958	6	4
105	1000	30	0	0	2	686	0	810	822.5697	98.4719	6	5
105	1000	30	60	0	2	633	0	778	784.04834	99.22858	7	0
105	500	30	10000	0	2	645	0	389	395.37192	98.388374	7	1
105	500	30	0	0	2	517	1	481.16318	489.0706	98.38318	7	2
105	1000	30	10000	0	2	609	0	803	806.54175	99.560875	7	3
105	500	30	60	0	2	531	0	392.11215	404.9802	96.82255	7	4
105	1000	30	0	0	2	633	1	759.82837	763.9771	99.456955	7	5
105	1000	30	10000	0	2	582	0	749	756.5515	99.00185	8	0
105	1000	30	60	0	2	631	0	867	879.1701	98.61573	8	1
105	1000	30	0	0	2	511	0	761	776.7868	97.96768	8	2
105	500	30	0	0	2	641	0	680.04443	691.635	98.32418	8	3
105	500	30	60	0	2	760	0	460	480.90646	95.652695	8	4
105	500	30	10000	0	2	717	0	509.5282	526.46155	96.783554	8	5
105	1000	30	0	0	2	813	0	895	924.3755	96.82213	9	0
105	500	30	10000	0	2	594	0	401	405.8976	98.79339	9	1
105	500	30	0	0	2	623	0	485	503.2128	96.3807	9	2
105	1000	30	10000	0	2	557	0	830	847.1862	97.971375	9	3
105	1000	30	60	0	2	672	0	752	769.1149	97.77473	9	4
105	500	30	60	0	2	564	0	458	472.66684	96.897	9	5
105	1000	30	60	0	2	531	0	804	809.7648	99.28809	10	0
105	500	30	0	0	2	455	0	404	417.96268	96.65935	10	1
105	500	30	60	0	2	482	0	428	434.6012	98.48109	10	2
105	500	30	10000	0	2	605	0	369.14062	383.89902	96.155655	10	3
105	1000	30	0	0	2	768	0	1150	1172.0316	98.12022	10	4
105	1000	30	10000	0	2	784	0	993.11755	1014.0348	97.937225	10	5
105	500	30	60	0	2	605	0	380	389.09674	97.66209	11	0
105	1000	30	0	0	2	718	0	788	797.6477	98.79048	11	1
105	500	30	0	0	2	550	0	395	402.68805	98.09081	11	2
105	1000	30	60	0	2	643	0	796.87585	812.10205	98.12509	11	3
105	500	30	10000	0	2	668	0	588	607.88367	96.729034	11	4
105	1000	30	10000	0	2	584	0	854.05786	869.674	98.20437	11	5
105	500	30	10000	0	2	603	0	424.20865	437.7778	96.900444	12	0
105	1000	30	0	0	2	667	0	915.31335	932.45825	98.16132	12	1
105	500	30	0	0	2	636	0	654	666.9329	98.06084	12	2
105	1000	30	60	0	2	702	0	725	740.6468	97.88741	12	3
105	500	30	60	0	2	427	0	384	405.0349	94.80664	12	4
105	1000	30	10000	0	2	840	0	1145	1169.5808	97.89832	12	5
105	1000	30	0	0	2	704	0	929.0345	956.47894	97.13068	13	0
105	500	30	0	0	2	533	0	518.02673	531.05835	97.546104	13	1
105	1000	30	60	0	2	677	0	838.64417	849.8475	98.68173	13	2
105	1000	30	10000	0	2	635	0	862.02	879.5141	98.01094	13	3
